INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Viterbo University,La Crosse,WI,54601-8804,2,32350.0,32350.0,44123.0,,22633.0,,0.2249,0.5785,19500,25000,0.7327,1184.0,6855.0,1392.0,0.6516,0.6979,0.0,55660.0
Chippewa Valley Technical College,Eau Claire,WI,54701-6162,1,4724.0,6917.0,16283.0,12025.0,,,0.1736,0.1755,8000,11432,,,8333.0,4127.0,,,0.0,46297.0
Waukesha County Technical College,Pewaukee,WI,53072-4601,1,4720.0,6996.0,14281.0,9400.0,,,0.1084,0.0892,9500,12000,,,9592.0,4497.0,,,0.0,46894.0
Western Technical College,La Crosse,WI,54601,1,4716.0,6909.0,15548.0,12069.0,,,0.3151,0.3386,6917,11500,,,8368.0,3434.0,,,0.0,45303.0
University of Wisconsin-Whitewater,Whitewater,WI,53190-1790,1,8250.0,17916.0,18661.0,14785.0,,,0.2503,0.4712,16241,23188,0.8276,1090.0,8817.0,9180.0,0.643,0.7754,0.0,55356.0
Northwood Technical College,Rice Lake,WI,54868,1,4524.0,6583.0,14116.0,8892.0,,,0.3004,0.2612,5500,8250,,,8605.0,2026.0,,,0.0,43406.0
Wisconsin School of Professional Psychology,Milwaukee,WI,53225-4960,2,,,,,,,,,PS,PS,,,,,,,0.0,
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,1,9277.0,18516.0,21014.0,16948.0,,,0.1867,0.4321,13000,20909,0.7608,1190.0,8974.0,8995.0,0.6756,0.8189,0.0,58561.0
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,1,8342.0,16929.0,18161.0,12878.0,,,0.2257,0.3102,11250,18500,0.8784,1090.0,7851.0,6230.0,0.5309,0.7042,0.0,52528.0
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,1,9651.0,18691.0,18115.0,15374.0,,,0.1423,0.4398,18000,22500,0.7325,1190.0,8149.0,9194.0,0.7119,0.8573,0.0,60378.0
Wisconsin Lutheran College,Milwaukee,WI,53226-4699,2,35080.0,35080.0,47026.0,,21315.0,,0.2542,0.7069,19500,26000,0.7905,1214.0,7193.0,1009.0,0.6266,0.7994,0.0,54664.0
University of Wisconsin-Oshkosh,Oshkosh,WI,54901,1,8212.0,16125.0,19063.0,14761.0,,,0.158,0.2719,12500,21500,0.8668,1090.0,8686.0,7613.0,0.5789,0.7226,0.0,55548.0
University of Wisconsin-Parkside,Kenosha,WI,53144,1,7855.0,16497.0,16768.0,10044.0,,,0.3421,0.3752,14000,20492,0.7262,1090.0,8236.0,2951.0,0.3982,0.7126,0.0,51129.0
Herzing University-Madison,Madison,WI,53718,2,13420.0,13420.0,26687.0,,20319.0,,0.6683,0.706,11756,21500,0.9415,,6776.0,2105.0,0.2759,0.4828,0.0,36909.0
University of Wisconsin-Stout,Menomonie,WI,54751,1,10142.0,18706.0,21618.0,17365.0,,,0.2274,0.4891,16000,23000,0.8474,1150.0,8131.0,5900.0,0.5253,0.741,0.0,58084.0
University of Wisconsin-Superior,Superior,WI,54880-4500,1,8487.0,16400.0,18415.0,13405.0,,,0.296,0.4596,14055,22500,0.9364,1050.0,7090.0,1899.0,0.4412,0.7074,0.0,49606.0
